Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
2025-07-01,ABERFOYLE PARK,5159,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,3
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,5
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,4
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,4
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,1
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,2
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,2
2025-07-01,ADELAIDE,5000,OFFENCES AGAINST THE PERSON,"ROBBERY, BLACKMAIL, AND EXTORTION",Robbery,1
2025-07-01,ALDINGA BEACH,5173,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,ALLENBY GARDENS,5009,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-01,ANGLE VALE,5117,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,2
2025-07-01,ASCOT PARK,5043,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,ASHBOURNE,5157,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,ATHELSTONE,5076,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,ATHELSTONE,5076,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,BEDFORD PARK,5042,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
2025-07-01,BERRI,5343,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,BEVERLEY,5009,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,BEVERLEY,5009,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,BOWDEN,5007,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
2025-07-01,BRIGHTON,5048,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,CAVAN,5094,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of other prescribed officer,1
2025-07-01,CEDUNA,5690,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,COLLINSWOOD,5081,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,COOBER PEDY,5723,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,COOBER PEDY,5723,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,CROYDON PARK,5008,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-01,CROYDON PARK,5008,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
2025-07-01,CROYDON PARK,5008,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,DAVOREN PARK,5113,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
